event_time,me_active_power
0,5.284
1,5.296
2,5.307
3,5.319
4,5.33
5,5.343
6,5.351
7,5.365
8,5.377
9,5.387
10,5.4
11,5.411
12,5.434
13,5.434
14,5.446
15,5.457
16,5.469
17,5.48
18,5.492
19,5.503
20,5.516
21,5.527
22,5.549
23,5.549
24,5.563
25,5.573
26,5.584
27,5.596
28,5.607
29,5.621
30,5.631
31,5.643
32,5.655
33,5.666
34,5.678
35,5.689
36,5.702
37,5.71
38,5.726
39,5.737
40,5.749
41,5.761
42,5.772
43,5.786
44,5.809
45,5.809
46,5.822
47,5.833
48,5.846
49,5.858
50,5.869
51,5.882
52,5.894
53,5.908
54,5.92
55,5.945
56,5.945
57,5.957
58,5.969
59,5.981
60,5.995
61,6.007
62,6.02
63,6.033
64,6.046
65,6.072
66,6.072
67,6.086
68,6.099
69,6.113
70,6.139
71,6.139
72,6.151
73,6.165
74,6.178
75,6.192
76,6.206
77,6.22
78,6.233
79,6.246
80,6.276
81,6.276
82,6.289
83,6.303
84,6.318
85,6.346
86,6.346
87,6.36
88,6.375
89,6.386
90,6.402
91,6.416
92,6.447
93,6.46
94,6.46
95,6.49
96,6.49
97,6.506
98,6.52
99,6.533
100,6.549
101,6.564
102,6.577
103,6.595
104,6.609
105,6.625
106,6.639
107,6.656
108,6.671
109,6.686
110,6.7
111,6.717
112,6.732
113,6.748
114,6.764
115,6.779
116,6.795
117,6.809
118,6.828
119,6.844
120,6.859
121,6.876
122,6.891
123,6.908
124,6.924
125,6.957
126,6.957
127,6.972
128,7.006
129,7.006
130,7.039
131,7.039
132,7.056
133,7.072
134,7.09
135,7.107
136,7.121
137,7.14
138,7.155
139,7.172
140,7.191
141,7.205
142,7.241
143,7.241
144,7.257
145,7.274
146,7.291
147,7.31
148,7.323
149,7.343
150,7.359
151,7.376
152,7.394
153,7.412
154,7.428
155,7.446
156,7.461
157,7.478
158,7.495
159,7.514
160,7.548
161,7.548
162,7.565
163,7.58
164,7.598
165,7.63
166,7.63
167,7.664
168,7.664
169,7.682
170,7.698
171,7.714
172,7.749
173,7.765
174,7.783
175,7.799
176,7.799
177,7.814
178,7.832
179,7.848
180,7.864
181,7.881
182,7.897
183,7.914
184,7.931
185,7.946
186,7.963
187,7.979
188,7.996
189,8.012
190,8.028
191,8.043
192,8.061
193,8.093
194,8.093
195,8.108
196,8.139
197,8.139
198,8.154
199,8.17
200,8.187
201,8.201
202,8.219
203,8.232
204,8.248
205,8.278
206,8.278
207,8.295
208,8.325
209,8.325
210,8.338
211,8.354
212,8.369
213,8.383
214,8.401
215,8.413
216,8.429
217,8.44
218,8.458
219,8.472
220,8.486
221,8.501
222,8.515
223,8.529
224,8.542
225,8.556
226,8.571
227,8.585
228,8.599
229,8.612
230,8.626
231,8.638
232,8.653
233,8.667
234,8.679
235,8.707
236,8.707
237,8.72
238,8.734
239,8.746
240,8.759
241,8.77
242,8.784
243,8.796
244,8.809
245,8.82
246,8.833
247,8.843
248,8.869
249,8.869
250,8.881
251,8.893
252,8.905
253,8.917
254,8.928
255,8.938
256,8.953
257,8.96
258,8.974
259,8.984
260,8.993
261,9.006
262,9.016
263,9.027
264,9.039
265,9.06
266,9.06
267,9.07
268,9.081
269,9.092
270,9.112
271,9.112
272,9.121
273,9.133
274,9.14
275,9.151
276,9.159
277,9.178
278,9.187
279,9.187
280,9.198
281,9.206
282,9.216
283,9.224
284,9.233
285,9.242
286,9.251
287,9.26
288,9.269
289,9.275
290,9.286
291,9.293
292,9.301
293,9.311
294,9.318
295,9.334
296,9.334
297,9.343
298,9.35
299,9.357
300,9.365
301,9.373
302,9.381
303,9.389
304,9.396
305,9.404
306,9.41
307,9.42
308,9.426
309,9.433
310,9.447
311,9.447
312,9.454
313,9.461
314,9.47
315,9.483
316,9.483
317,9.487
318,9.497
319,9.502
320,9.508
321,9.517
322,9.528
323,9.528
324,9.535
325,9.548
326,9.548
327,9.554
328,9.567
329,9.561
330,9.57
331,9.578
332,9.588
333,9.588
334,9.595
335,9.601
336,9.606
337,9.612
338,9.619
339,9.624
340,9.633
341,9.633
342,9.639
343,9.643
344,9.651
345,9.655
346,9.66
347,9.664
348,9.67
349,9.674
350,9.684
351,9.684
352,9.689
353,9.694
354,9.698
355,9.709
356,9.709
357,9.711
358,9.715
359,9.719
360,9.724
361,9.728
362,9.733
363,9.736
364,9.74
365,9.742
366,9.747
367,9.751
368,9.759
369,9.759
370,9.763
371,9.766
372,9.769
373,9.771
374,9.777
375,9.778
376,9.783
377,9.784
378,9.788
379,9.791
380,9.793
381,9.796
382,9.799
383,9.801
384,9.802
385,9.803
386,9.809
387,9.808
388,9.812
389,9.813
390,9.814
391,9.816
392,9.817
393,9.819
394,9.821
395,9.821
396,9.824
397,9.826
398,9.826
399,9.824
400,9.827
401,9.826
402,9.826
403,9.827
404,9.827
405,9.827
406,9.826
407,9.826
408,9.827
409,9.823
410,9.825
411,9.824
412,9.825
413,9.825
414,9.825
415,9.822
416,9.822
417,9.821
418,9.82
419,9.819
420,9.82
421,9.817
422,9.818
423,9.818
424,9.816
425,9.815
426,9.814
427,9.812
428,9.811
429,9.811
430,9.81
431,9.807
432,9.806
433,9.806
434,9.804
435,9.802
436,9.801
437,9.798
438,9.795
439,9.794
440,9.794
441,9.793
442,9.791
443,9.786
444,9.786
445,9.783
446,9.781
447,9.781
448,9.78
449,9.778
450,9.775
451,9.774
452,9.769
453,9.765
454,9.765
455,9.761
456,9.761
457,9.758
458,9.755
459,9.753
460,9.751
461,9.747
462,9.744
463,9.743
464,9.739
465,9.736
466,9.732
467,9.731
468,9.726
469,9.723
470,9.716
471,9.716
472,9.711
473,9.711
474,9.706
475,9.703
476,9.699
477,9.696
478,9.692
479,9.688
480,9.685
481,9.68
482,9.677
483,9.672
484,9.669
485,9.665
486,9.659
487,9.655
488,9.651
489,9.647
490,9.642
491,9.64
492,9.633
493,9.63
494,9.624
495,9.622
496,9.61
497,9.61
498,9.606
499,9.604
500,9.598
501,9.592
502,9.585
503,9.585
504,9.579
505,9.575
506,9.569
507,9.564
508,9.561
509,9.554
510,9.55
511,9.545
512,9.54
513,9.537
514,9.53
515,9.524
516,9.52
517,9.515
518,9.511
519,9.505
520,9.501
521,9.495
522,9.49
523,9.487
524,9.481
525,9.475
526,9.469
527,9.465
528,9.459
529,9.449
530,9.449
531,9.445
532,9.436
533,9.434
534,9.429
535,9.422
536,9.419
537,9.411
538,9.406
539,9.401
540,9.396
541,9.39
542,9.382
543,9.382
544,9.371
545,9.371
546,9.365
547,9.361
548,9.354
549,9.35
550,9.348
551,9.34
552,9.334
553,9.331
554,9.326
555,9.322
556,9.317
557,9.308
558,9.308
559,9.302
560,9.301
561,9.293
562,9.282
563,9.279
564,9.279
565,9.276
566,9.27
567,9.267
568,9.259
569,9.263
570,9.256
571,9.252
572,9.247
573,9.242
574,9.241
575,9.239
576,9.232
577,9.232
578,9.226
579,9.224
580,9.221
581,9.217
582,9.214
583,9.205
584,9.211
585,9.205
586,9.202
587,9.2
588,9.195
589,9.193
590,9.186
591,9.186
592,9.185
593,9.183
594,9.18
595,9.179
596,9.176
597,9.175
598,9.173
599,9.17
600,9.166
601,9.165
602,9.164
603,9.162
604,9.16
605,9.158
606,9.156
607,9.153
608,9.151
609,9.151
610,9.147
611,9.146
612,9.144
613,9.141
614,9.141
615,9.139
616,9.136
617,9.135
618,9.132
619,9.131
620,9.129
621,9.129
622,9.126
623,9.124
624,9.122
625,9.12
626,9.12
627,9.116
628,9.116
629,9.116
630,9.115
631,9.113
632,9.113
633,9.111
634,9.112
635,9.11
636,9.111
637,9.11
638,9.11
639,9.11
640,9.109
641,9.108
642,9.11
643,9.11
644,9.11
645,9.11
646,9.11
647,9.113
648,9.112
